RELATÓRIO DE EVOLUÇÃO - Taxa de exodontias
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 6.01
AGO_25: Média de pontuação = 6.56
DEZ_25: Média de pontuação = 5.68

% de crescimento entre 2025-04 e 2025-08: 40.65%
% de crescimento entre 2025-08 e 2025-12: 38.44%

Crescimento total médio: 35.58%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB LIRIO (INE: 0002062801): 1506.67%
  ESB 01 UBS 01 GUARA (INE: 0002117312): 1421.92%
  ESB 02 UBS 01 NB (INE: 0002117703): 698.95%
  ESB 01 UBS 01 NB (INE: 0002117681): 612.90%
  ESB 3 PARANOA PARQUE (INE: 0001909444): 557.23%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 02 - UBS 04 SAM (INE: 0001923870): -100.00%
  ESB 46 (INE: 0002272784): -100.00%
  1221/57 (INE: 0002170914): -100.00%
  1205/47 (INE: 0001880489): -100.00%
  ESB 03 UBS 02 GUARA (INE: 0002117479): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 03 SAMAMBAIA;0001923803;ESB 01 - UBS 03 SAM;4.08;7.14;6.25;75.0;-12.46;53.19
UBS 02 TAGUATINGA;0002064030;ESB 04 - UBS 02 TAG;2.2;7.01;0.0;218.64;-100.0;-100.0
UBS 3 LOBEIRAL FERCAL;0002062550;ESB JERIVA;5.97;5.24;20.0;-12.23;281.68;235.01
UBS 2 QUADRA 18 PARANOA;0001906135;ESB QD 18 PAR;10.66;28.13;0.0;163.88;-100.0;-100.0
UBS 04 SAMAMBAIA;0001923846;ESB 01 - UBS 04 SAM;0.76;5.41;0.0;611.84;-100.0;-100.0
UBS 4 PLANALTINA;0002062933;ESB SALVIA;9.71;27.03;17.14;178.37;-36.59;76.52
UBS 01 VICENTE PIRES;0002064111;ESB 03 - UBS 01 VP;0.0;0.0;5.33;0.0;100.0;100.0
UBS 01 VICENTE PIRES;0002536951;ESB 06 - UBS 01 VP;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 SAO SEBASTIAO;0001910221;ESB 5 SAO SEBASTIAO;27.2;25.64;20.63;-5.74;-19.54;-24.15
UBS 02 GUARA;0002421747;ESB 04 - UBS 02 GUARA;5.49;4.88;33.33;-11.11;582.99;507.1
UBS 17 CEILANDIA;0002019213;ESB 39;2.6;3.26;4.88;25.38;49.69;87.69
UBS 1 SOBRADINHO;0002062577;ESB ANDORINHA - SOB;0.56;0.0;0.0;-100.0;0.0;-100.0
UBS 5 PLANALTINA;0002062984;ESB TRINCA-FERRO;13.64;0.0;6.19;-100.0;100.0;-54.62
UBS 12 CEILANDIA;0002272830;ESB 51;6.82;1.35;7.06;-80.21;422.96;3.52
UBS 10 TAQUARA PLANALTINA;0002063077;ESB TAQUARA;11.36;8.97;22.22;-21.04;147.71;95.6
UBS 03 GUARA;0002117533;ESB 02 UBS 03 GUARA;5.21;3.7;13.08;-28.98;253.51;151.06
UBS 1 SANTA MARIA;0001879898;0555/36;19.13;17.05;8.41;-10.87;-50.67;-56.04
UBS 4 JARDIM II PARANOA;0002452219;ESB JARDIM II;6.1;2.4;0.0;-60.66;-100.0;-100.0
UBS 1 SAO SEBASTIAO;0001910302;ESB 9 SAO SEBASTIAO;0.0;9.65;9.05;100.0;-6.22;100.0
UBS 01 TAGUATINGA;0001918478;ESB 02 - UBS 01 TAG;1.61;0.98;4.46;-39.13;355.1;177.02
UBS 08 SAMAMBAIA;0002064286;ESB 03 - UBS 08 SAM;0.0;7.14;7.69;100.0;7.7;100.0
UBS 16 CEILANDIA;0002272873;ESB 55;4.95;13.72;17.65;177.17;28.64;256.57
UBS 08 SAMAMBAIA;0001924656;ESB 01 - UBS 08 SAM;4.94;8.57;12.68;73.48;47.96;156.68
UBS 3 ASA NORTE VILA PLANALTO;0002514117;ESB IPE BRANCO;3.77;7.5;0.0;98.94;-100.0;-100.0
UBS 3 NOVA COLINA SOBRADINHO;0002062674;ESB FLAMBOYANT;0.0;4.29;0.0;100.0;-100.0;0.0
UBS 5 CHAPADINHA BRAZLANDIA;0002272784;ESB 46;14.56;21.82;0.0;49.86;-100.0;-100.0
UBS 01 CANDANGOLANDIA;0002117797;ESB 02 UBS 01 CANDANGOLANDIA;7.69;17.5;18.52;127.57;5.83;140.83
UBS 1 ASA NORTE;0002203057;ESB ESTRELA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 11 SAMAMBAIA;0002064200;ESB 02 - UBS 11 SAM;2.56;0.0;0.67;-100.0;100.0;-73.83
UBS 1 SANTA MARIA;0001879820;0554/35;0.0;3.51;0.0;100.0;-100.0;0.0
UBS 1 CEILANDIA;0002018608;ESB 8;3.37;3.31;0.0;-1.78;-100.0;-100.0
UBS 7 BURITIZINHO SOBRADINHO II;0002062798;ESB MOSTARDA;0.0;2.9;2.97;100.0;2.41;100.0
UBS 1 SAO SEBASTIAO;0001910140;ESB 2 SAO SEBASTIAO;4.8;20.41;1.54;325.21;-92.45;-67.92
UBS 5 PLANALTINA;0002063034;ESB FALCAO;7.45;8.15;8.64;9.4;6.01;15.97
UBS 4 GAMA;0001880489;1205/47;4.65;0.0;0.0;-100.0;0.0;-100.0
UBS 1 PARANOA;0001905872;ESB 2 PARANOA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 ASA NORTE;0002300672;ESB COMETA;1.02;5.36;3.57;425.49;-33.4;250.0
UBS 8 CEILANDIA;0002018977;ESB 24;0.0;8.85;22.11;100.0;149.83;100.0
UBS 3 NOVA COLINA SOBRADINHO;0002062690;ESB JACARANDA;3.28;3.64;6.15;10.98;68.96;87.5
UBS 6 CEILANDIA;0002018926;ESB 19;3.92;9.65;18.18;146.17;88.39;363.78
UBS 01 ESTRUTURAL;0002117665;ESB 05 UBS 01 ESTRUTURAL;13.46;8.82;14.13;-34.47;60.2;4.98
UBS 02 GUARA;0002117479;ESB 03 UBS 02 GUARA;2.5;2.39;0.0;-4.4;-100.0;-100.0
UBS 11 SAMAMBAIA;0002064227;ESB 01 - UBS 11 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 SOBRADINHO;0002062623;ESB AGATA;4.44;4.13;1.23;-6.98;-70.22;-72.3
UBS 5 PLANALTINA;0002062992;ESB FENIX;5.36;4.88;2.62;-8.96;-46.31;-51.12
UBS 01 GUARA;0002117320;ESB 02 UBS 01 GUARA;9.0;5.1;8.0;-43.33;56.86;-11.11
UBS 12 CEILANDIA;0002272822;ESB 50;6.56;3.7;7.84;-43.6;111.89;19.51
UBS 11 RAJADINHA PLANALTINA;0002274132;ESB RAJADINHA;3.33;3.85;8.96;15.62;132.73;169.07
UBS 2 BRAZLANDIA;0002272776;ESB 45;3.82;2.86;6.25;-25.13;118.53;63.61
UBS 12 SAMAMBAIA;0001924753;ESB 01 - UBS 12 SAM;5.88;12.79;0.0;117.52;-100.0;-100.0
UBS 10 RECANTO DAS EMAS;0001924931;ESB 01 - UBS 10 REC;9.38;14.71;0.0;56.82;-100.0;-100.0
UBS 03 RECANTO DAS EMAS;0001925393;ESB 04 - UBS 03 REC;3.54;10.87;0.0;207.06;-100.0;-100.0
UBS 01 NUCLEO BANDEIRANTE;0002117681;ESB 01 UBS 01 NB;0.93;3.2;6.63;244.09;107.19;612.9
UBS 02 ESTRUTURAL;0002322129;ESB 02 UBS 02 ESTRUTURAL;13.79;9.9;6.92;-28.21;-30.1;-49.82
UBS 2 SOBRADINHO;0002062666;ESB CRISTAL;2.54;0.0;0.0;-100.0;0.0;-100.0
UBS 06 SAMAMBAIA;0001924400;ESB 01 - UBS 06 SAM;1.42;1.85;0.72;30.28;-61.08;-49.3
UBS 1 PLANALTINA;0002062887;ESB MICO-LEAO-DOURADO;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 ITAPOA;0001909851;ESB 2 ITAPOA;20.62;11.61;7.43;-43.7;-36.0;-63.97
UBS 4 ROTA DO CAVALO SOBRADINHO;0002062704;ESB HARAS DO SOL;2.22;1.87;0.0;-15.77;-100.0;-100.0
UBS 20 PLANALTINA;0002422417;ESB SIGMA;0.0;4.82;0.0;100.0;-100.0;0.0
UBS 2 PLANALTINA;0002062909;ESB AZALEIA;4.71;0.0;0.0;-100.0;0.0;-100.0
UBS 03 RECANTO DAS EMAS;0001925628;ESB 07 - UBS 03 REC;87.5;51.35;14.29;-41.31;-72.17;-83.67
UBS 17 CEILANDIA;0002019191;ESB 38;4.44;0.52;8.7;-88.29;1573.08;95.95
UBS 1 SANTA MARIA;0002125366;0027/40;12.62;12.2;12.87;-3.33;5.49;1.98
UBS 20 PLANALTINA;0002063093;ESB GAMA;22.92;19.84;14.86;-13.44;-25.1;-35.17
UBS 05 SAMAMBAIA;0002335646;ESB 05 - UBS 05 SAM;2.13;1.99;1.12;-6.57;-43.72;-47.42
UBS 01 VICENTE PIRES;0002307367;ESB 04 - UBS 01 VP;4.32;4.36;1.13;0.93;-74.08;-73.84
UBS 16 CEILANDIA;0002272881;ESB 56;1.64;3.73;1.57;127.44;-57.91;-4.27
UBS 1 GAMA;0001879979;0252/40;0.0;5.94;0.0;100.0;-100.0;0.0
UBS 2 PLANALTINA;0002062917;ESB DALIA;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 PARK WAY;0002117894;ESB 01 UBS 01 PARK WAY;1.47;4.15;6.35;182.31;53.01;331.97
UBS 2 SANTA MARIA;0001879448;0540/20;0.0;0.0;0.0;0.0;0.0;0.0
UBS 2 SANTA MARIA;0001879693;00551/32;19.35;18.37;35.0;-5.06;90.53;80.88
UBS 5 NOVA BETANIA SAO SEBASTIAO;0001910361;ESB NOVA BETANIA SSB;1.75;0.0;5.88;-100.0;100.0;236.0
UBS 07 TAGUATINGA;0002064065;ESB 02 - UBS 07 TAG;10.96;13.79;8.62;25.82;-37.49;-21.35
UBS 4 GAMA;0002256797;1231/67;0.0;0.0;0.0;0.0;0.0;0.0
UBS 11 CEILANDIA;0002019094;ESB 32;0.0;9.97;8.53;100.0;-14.44;100.0
UBS 1 SOBRADINHO;0002062607;ESB TUCANO - SOB;0.0;37.5;7.14;100.0;-80.96;100.0
UBS 20 PLANALTINA;0002274140;ESB OMEGA;19.3;0.0;0.0;-100.0;0.0;-100.0
UBS 13 SAO JOSE PLANALTINA;0002177013;ESB UOM;7.14;13.7;10.17;91.88;-25.77;42.44
UBS 16 CEILANDIA;0002272865;ESB 54;0.0;0.0;2.86;0.0;100.0;100.0
UBS 03 SAMAMBAIA;0002536978;ESB 03 - UBS 03 SAM;0.0;0.0;14.93;0.0;100.0;100.0
UBS 10 CEILANDIA;0002019051;ESB 30;25.86;17.8;14.12;-31.17;-20.67;-45.4
UBS 01 SAMAMBAIA;0002138468;ESB 01 - UBS 01 SAM;3.07;6.21;3.64;102.28;-41.38;18.57
UBS 12 PONTE ALTA GAMA;0001881329;1212/53;5.5;9.09;0.0;65.27;-100.0;-100.0
UBS 8 CEILANDIA;0002018993;ESB 26;7.86;12.05;3.39;53.31;-71.87;-56.87
UBS 8 VALE DO AMANHECER PLANALTINA;0002063050;ESB UNIVERSO;35.85;10.4;25.0;-70.99;140.38;-30.26
UBS 04 SAMAMBAIA;0001923870;ESB 02 - UBS 04 SAM;17.39;2.41;0.0;-86.14;-100.0;-100.0
UBS 02 GUARA;0002117452;ESB 02 UBS 02 GUARA;9.38;8.15;19.15;-13.11;134.97;104.16
UBS 2 CEILANDIA;0002018659;ESB 10;0.0;0.48;11.11;100.0;2214.58;100.0
UBS 11 CEILANDIA;0002019116;ESB 34;6.25;3.56;5.71;-43.04;60.39;-8.64
UBS 07 TAGUATINGA;0002064073;ESB 03 - UBS 07 TAG;0.0;16.52;9.35;100.0;-43.4;100.0
UBS 9 CEILANDIA;0002272814;ESB 47;0.0;0.0;3.28;0.0;100.0;100.0
UBS 8 CEILANDIA;0002018985;ESB 25;3.81;8.18;1.71;114.7;-79.1;-55.12
