RELATÓRIO DE EVOLUÇÃO - Tratamento Restaurador Atraumático
Equipes: eSB
Competências: ABR/25, AGO/25, DEZ/25

==================================================
RESUMO DAS VARIAÇÕES
==================================================
ABR_25: Média de pontuação = 15.61
AGO_25: Média de pontuação = 16.72
DEZ_25: Média de pontuação = 17.64

% de crescimento entre 2025-04 e 2025-08: 26.81%
% de crescimento entre 2025-08 e 2025-12: 23.89%

Crescimento total médio: 42.02%

==================================================
TOP 5 - MAIOR CRESCIMENTO
==================================================
  ESB 01 UBS 01 PARK WAY (INE: 0002117894): 1401.50%
  ESB 5 (INE: 0002018578): 998.90%
  ESB 03 - UBS 04 REC (INE: 0001925733): 924.59%
  ESB 38 (INE: 0002019191): 649.63%
  ESB VERDE (INE: 0002489201): 600.21%

==================================================
TOP 5 - MENOR CRESCIMENTO
==================================================
  ESB 02 - UBS 04 SAM (INE: 0001923870): -100.00%
  ESB 04 - UBS 02 TAG (INE: 0002064030): -100.00%
  ESB JERIVA (INE: 0002062550): -100.00%
  ESB 04 - UBS 02 GUARA (INE: 0002421747): -100.00%
  ESB 02 UBS 01 RIACHO FUNDO 01 (INE: 0002117843): -100.00%


==================================================
DADOS COMPLETOS
==================================================

ESTABELECIMENTO;INE;NOME DA EQUIPE;PONT_ABR_25;PONT_AGO_25;PONT_DEZ_25;VAR_1_2_%;VAR_2_3_%;CRESCIMENTO_TOTAL_%
UBS 6 GAMA;0002452677;1238/74;0.0;0.0;0.0;0.0;0.0;0.0
UBS 3 PARANOA PARQUE;0001906240;ESB 1 PARANOA PARQUE;0.0;0.0;0.0;0.0;0.0;0.0
UBS 10 CEILANDIA;0002156288;ESB 44;10.81;15.0;13.04;38.76;-13.07;20.63
UBS 01 GUARA;0002117339;ESB 03 UBS 01 GUARA;18.18;0.0;0.0;-100.0;0.0;-100.0
UBS 8 PADDF PARANOA;0001909797;ESB PADDF;20.83;68.89;25.93;230.72;-62.36;24.48
UBS 01 TAGUATINGA;0001918508;ESB 03 - UBS 01 TAG;50.0;31.25;0.0;-37.5;-100.0;-100.0
UBS 8 TORRE DE BRAZLANDIA;0002018586;ESB 6;26.09;0.0;53.57;-100.0;100.0;105.33
UBS 08 RECANTO DAS EMAS SAO FRANCISCO;0002536943;ESB 01 - UBS 08 REC;0.0;0.0;10.71;0.0;100.0;100.0
UBS 1 ITAPOA;0001909940;ESB 4 ITAPOA;0.0;36.36;36.36;100.0;0.0;100.0
UBS 4 PLANALTINA;0002062925;ESB VALERIANA;40.0;58.33;44.44;45.82;-23.81;11.1
UBS 4 PLANALTINA;0002062968;ESB MARCELA;0.0;6.25;0.0;100.0;-100.0;0.0
UBS 2 CATINGUEIRO FERCAL;0002062569;ESB BALSAMO;0.0;0.0;22.22;0.0;100.0;100.0
UBS 02 RIACHO FUNDO I;0002117886;ESB 01 UBS 02 RIACHO FUNDO I;3.7;1.37;1.49;-62.97;8.76;-59.73
UBS 04 GUARA;0002171708;ESB 01 UBS 04 GUARA;18.92;28.57;40.91;51.0;43.19;116.23
UBS 01 ESTRUTURAL;0002117606;ESB 01 UBS 01 ESTRUTURAL;12.0;0.0;0.0;-100.0;0.0;-100.0
UBS 1 ASA SUL;0002203049;ESB ROSA;33.33;7.89;0.0;-76.33;-100.0;-100.0
UBS 12 SAMAMBAIA;0001924796;ESB 02 - UBS 12 SAM;8.93;0.0;16.67;-100.0;100.0;86.67
UBS 7 CEILANDIA;0002018969;ESB 23;16.22;2.7;0.0;-83.35;-100.0;-100.0
UBS 07 SAMAMBAIA;0001924540;ESB 02 - UBS 07 SAM;9.38;23.08;52.38;146.06;126.95;458.42
UBS 04 RECANTO DAS EMAS;0001925733;ESB 03 - UBS 04 REC;2.44;4.17;25.0;70.9;499.52;924.59
UBS 9 RESIDENCIAL DO BOSQUE 1 SAO SEBASTIAO;0001910485;ESB BOSQUE 1 SSB;54.55;0.0;20.0;-100.0;100.0;-63.34
UBS 17 JARDIM MORUMBI PLANALTINA;0002063085;ESB JARDIM MORUMBI;29.41;0.0;9.38;-100.0;100.0;-68.11
UBS 01 RIACHO FUNDO II;0002117908;ESB 03 UBS 01 RIACHO FUNDO II;0.0;0.0;15.79;0.0;100.0;100.0
UBS 2 SOBRADINHO;0002062658;ESB OPALA;4.55;7.14;23.08;56.92;223.25;407.25
UBS 01 TAGUATINGA;0001918389;ESB 01 - UBS 01 TAG;15.38;21.05;0.0;36.87;-100.0;-100.0
UBS 1 JARDINS MANGUEIRAL;0001910264;ESB 2 JARDINS MANGUEIRAL;0.0;0.0;30.0;0.0;100.0;100.0
UBS 5 BASEVI SOBRADINHO;0002062712;ESB BASEVI;37.5;27.27;100.0;-27.28;266.7;166.67
UBS 03 SAMAMBAIA;0001923803;ESB 01 - UBS 03 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 02 TAGUATINGA;0002064030;ESB 04 - UBS 02 TAG;24.0;18.18;0.0;-24.25;-100.0;-100.0
UBS 3 LOBEIRAL FERCAL;0002062550;ESB JERIVA;50.0;45.0;0.0;-10.0;-100.0;-100.0
UBS 2 QUADRA 18 PARANOA;0001906135;ESB QD 18 PAR;5.08;6.67;10.0;31.3;49.93;96.85
UBS 04 SAMAMBAIA;0001923846;ESB 01 - UBS 04 SAM;0.0;0.0;0.0;0.0;0.0;0.0
UBS 4 PLANALTINA;0002062933;ESB SALVIA;45.45;81.82;61.11;80.02;-25.31;34.46
UBS 01 VICENTE PIRES;0002064111;ESB 03 - UBS 01 VP;0.0;0.0;0.0;0.0;0.0;0.0
UBS 01 VICENTE PIRES;0002536951;ESB 06 - UBS 01 VP;0.0;0.0;0.0;0.0;0.0;0.0
UBS 1 SAO SEBASTIAO;0001910221;ESB 5 SAO SEBASTIAO;0.0;0.0;4.44;0.0;100.0;100.0
UBS 02 GUARA;0002421747;ESB 04 - UBS 02 GUARA;13.16;0.0;0.0;-100.0;0.0;-100.0
UBS 17 CEILANDIA;0002019213;ESB 39;62.5;51.43;75.0;-17.71;45.83;20.0
UBS 1 SOBRADINHO;0002062577;ESB ANDORINHA - SOB;36.36;11.11;22.22;-69.44;100.0;-38.89
UBS 5 PLANALTINA;0002062984;ESB TRINCA-FERRO;0.0;0.0;0.0;0.0;0.0;0.0
UBS 12 CEILANDIA;0002272830;ESB 51;25.0;30.56;66.67;22.24;118.16;166.68
UBS 10 TAQUARA PLANALTINA;0002063077;ESB TAQUARA;0.0;31.82;40.0;100.0;25.71;100.0
UBS 03 GUARA;0002117533;ESB 02 UBS 03 GUARA;20.0;30.0;15.38;50.0;-48.73;-23.1
UBS 1 SANTA MARIA;0001879898;0555/36;29.17;12.5;19.23;-57.15;53.84;-34.08
UBS 4 JARDIM II PARANOA;0002452219;ESB JARDIM II;56.52;62.16;75.0;9.98;20.66;32.7
UBS 1 SAO SEBASTIAO;0001910302;ESB 9 SAO SEBASTIAO;0.0;36.36;9.09;100.0;-75.0;100.0
UBS 01 TAGUATINGA;0001918478;ESB 02 - UBS 01 TAG;2.17;0.0;7.5;-100.0;100.0;245.62
UBS 08 SAMAMBAIA;0002064286;ESB 03 - UBS 08 SAM;0.0;0.0;20.0;0.0;100.0;100.0
UBS 16 CEILANDIA;0002272873;ESB 55;4.26;2.78;0.0;-34.74;-100.0;-100.0
UBS 08 SAMAMBAIA;0001924656;ESB 01 - UBS 08 SAM;8.7;50.0;13.33;474.71;-73.34;53.22
UBS 3 ASA NORTE VILA PLANALTO;0002514117;ESB IPE BRANCO;6.67;16.0;0.0;139.88;-100.0;-100.0
UBS 3 NOVA COLINA SOBRADINHO;0002062674;ESB FLAMBOYANT;25.0;21.74;0.0;-13.04;-100.0;-100.0
UBS 5 CHAPADINHA BRAZLANDIA;0002272784;ESB 46;0.0;0.0;100.0;0.0;100.0;100.0
UBS 01 CANDANGOLANDIA;0002117797;ESB 02 UBS 01 CANDANGOLANDIA;0.0;0.0;10.0;0.0;100.0;100.0
UBS 1 ASA NORTE;0002203057;ESB ESTRELA;18.18;20.0;85.71;10.01;328.55;371.45
UBS 11 SAMAMBAIA;0002064200;ESB 02 - UBS 11 SAM;0.0;0.0;6.25;0.0;100.0;100.0
UBS 1 SANTA MARIA;0001879820;0554/35;0.0;30.77;0.0;100.0;-100.0;0.0
UBS 1 CEILANDIA;0002018608;ESB 8;0.0;30.77;40.0;100.0;30.0;100.0
